ID,Start time,Completion time,Email,Name,Last modified time,Do you believe a minimum of 8 hours of sleep is necessary?,"On average, how many hours of screen time do you get in a day on weekdays? (this includes Phone, TV, gaming, or any form of electronic screen that is NOT related to schoolwork)","On average, how many hours of sleep do you get a night on weekdays? (not including weekends)",What is your primary source of screen-time throughout the day?
1,12/10/25 10:27:35,12/10/25 10:27:49,anonymous,,,No,4,5-6,"Social Media (TikTok, Instagram, etc.)  "
2,12/10/25 10:29:26,12/10/25 10:29:44,anonymous,,,Yes,2,7-8,TV/YouTube/Streaming 
3,12/10/25 10:29:33,12/10/25 10:30:06,anonymous,,,Yes,7,9-10,"Social Media (TikTok, Instagram, etc.)  "
4,12/10/25 10:29:42,12/10/25 10:30:14,anonymous,,,Yes,2,7-8,Video Games
5,12/10/25 10:29:47,12/10/25 10:30:15,anonymous,,,No,3,5-6,"Social Media (TikTok, Instagram, etc.)  "
6,12/10/25 10:29:27,12/10/25 10:30:16,anonymous,,,Yes,3,7-8,"Social Media (TikTok, Instagram, etc.)  "
7,12/10/25 10:29:53,12/10/25 10:30:23,anonymous,,,Yes,5,7-8,TV/YouTube/Streaming 
8,12/10/25 10:29:58,12/10/25 10:30:58,anonymous,,,Yes,7,5-6,Video Games
9,12/10/25 10:30:09,12/10/25 10:31:02,anonymous,,,Yes,4,7-8,Video Games
10,12/10/25 10:31:27,12/10/25 10:32:03,anonymous,,,No,8,5-6,TV/YouTube/Streaming 
11,12/10/25 10:31:10,12/10/25 10:32:21,anonymous,,,Yes,6,7-8,"Social Media (TikTok, Instagram, etc.)  "
12,12/10/25 10:31:37,12/10/25 10:32:48,anonymous,,,Yes,4,5-6,TV/YouTube/Streaming 
13,12/10/25 10:32:46,12/10/25 10:33:12,anonymous,,,Yes,10+,7-8,Video Games
14,12/10/25 10:32:33,12/10/25 10:33:16,anonymous,,,Yes,6,7-8,Sports 
15,12/10/25 10:32:54,12/10/25 10:33:19,anonymous,,,Yes,5,5-6,"Social Media (TikTok, Instagram, etc.)  "
16,12/10/25 10:33:01,12/10/25 10:33:58,anonymous,,,Yes,4,7-8,"Social Media (TikTok, Instagram, etc.)  "
17,12/10/25 10:33:03,12/10/25 10:34:02,anonymous,,,Yes,7,5-6,Video Games and YouTube
18,12/10/25 10:34:11,12/10/25 10:34:31,anonymous,,,Yes,10+,7-8,Video Games
19,12/10/25 10:34:32,12/10/25 10:35:06,anonymous,,,No,10+,5-6,"Social Media (TikTok, Instagram, etc.)  "
20,12/10/25 10:34:33,12/10/25 10:35:10,anonymous,,,Yes,2,9-10,"Social Media (TikTok, Instagram, etc.)  "
21,12/10/25 10:34:40,12/10/25 10:35:21,anonymous,,,No,8,7-8,Video Games
22,12/10/25 10:34:55,12/10/25 10:36:04,anonymous,,,No,7,7-8,"Social Media (TikTok, Instagram, etc.)  "
23,12/10/25 10:35:14,12/10/25 10:36:56,anonymous,,,No,10+,7-8,TV/YouTube/Streaming 
24,12/10/25 10:30:45,12/10/25 10:37:32,anonymous,,,Yes,2,7-8,TV/YouTube/Streaming 
25,12/10/25 10:37:40,12/10/25 10:38:15,anonymous,,,No,10+,3-4,TV/YouTube/Streaming 
